workload,variant,throughput_ops,read_lat_us,update_lat_us
a,custom_baseline,304127,95,97
a,custom_reshard,277423,108,108
a,custom_raft,45110,186,1162
a,vanilla_baseline,313009,88,89
a,vanilla_reshard,277070,104,106
a,vanilla_raft,44486,194,1171
b,custom_baseline,323133,91,95
b,custom_reshard,280796,103,107
b,custom_raft,145222,156,816
b,vanilla_baseline,307977,94,96
b,vanilla_reshard,288259,104,104
b,vanilla_raft,140410,158,823
c,custom_baseline,308594,92,
c,custom_reshard,294031,100,
c,custom_raft,181291,134,
c,vanilla_baseline,326073,90,
c,vanilla_reshard,264978,113,
c,vanilla_raft,187301,135,
